계수,이름,도면층,블록 단위,색상,위치 X,위치 Y,위치 Z,주석,회전,각도,길이,끝 X,끝 Y,끝 Z,델타 X,델타 Y,델타 Z,시작 X,시작 Y,시작 Z,면적,반지름,시작 각도,전체 각도,중심점 X,중심점 Y,중심점 Z
1,선,DR,,ByLayer,,,,,,0.00,0.05,61.12,16.05,0.00,0.05,0.00,0.00,61.07,16.05,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,61.12,16.05,0.00
1,doorBlock,DR,미터,ByLayer,4.53,16.05,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,61.12,15.05,0.00,0.00,-1.00,0.00,61.12,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,61.07,15.05,0.00,-0.05,0.00,0.00,61.12,15.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,61.07,16.05,0.00,0.00,1.00,0.00,61.07,15.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,3.53,16.05,0.00,-0.05,0.00,0.00,3.58,16.05,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,3.53,16.05,0.00
1,doorBlockBoth,DR,미터,ByLayer,0.00,0.00,0.00,,0.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,3.53,15.05,0.00,0.00,-1.00,0.00,3.53,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,3.58,15.05,0.00,0.05,0.00,0.00,3.53,15.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,3.58,16.05,0.00,0.00,1.00,0.00,3.58,15.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,9.30,12.42,0.00,0.05,0.00,0.00,9.25,12.42,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,9.30,12.42,0.00
1,doorBlock,DR,미터,ByLayer,5.04,12.42,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,9.30,11.42,0.00,0.00,-1.00,0.00,9.30,12.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,9.25,11.42,0.00,-0.05,0.00,0.00,9.30,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,9.25,12.42,0.00,0.00,1.00,0.00,9.25,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,6.04,12.42,0.00,0.05,0.00,0.00,5.99,12.42,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,6.04,12.42,0.00
1,doorBlock,DR,미터,ByLayer,60.12,16.05,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,6.04,11.42,0.00,0.00,-1.00,0.00,6.04,12.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,5.99,11.42,0.00,-0.05,0.00,0.00,6.04,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,5.99,12.42,0.00,0.00,1.00,0.00,5.99,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.04,22.17,16.05,0.00,-0.04,0.00,0.00,22.21,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,0.96,22.17,17.02,0.00,0.00,0.96,0.00,22.17,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.04,22.17,17.02,0.00,-0.04,0.00,0.00,22.21,17.02,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,0.96,20.28,17.02,0.00,0.00,0.96,0.00,20.28,16.05,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.47,,,,,,,,,,0.24,0.96,92.67,87.33,22.21,16.05,0.00
1,호,DR,,ByLayer,,,,,,,1.47,,,,,,,,,,0.24,0.96,0.00,87.33,20.28,16.05,0.00
1,doorBlockBoth,DR,미터,ByLayer,27.02,0.00,0.00,,0.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,0.96,39.49,17.02,0.00,0.00,0.96,0.00,39.49,16.05,0.00,,,,,,,
