계수,이름,도면층,블록 단위,색상,위치 X,위치 Y,위치 Z,주석,회전,각도,길이,끝 X,끝 Y,끝 Z,델타 X,델타 Y,델타 Z,시작 X,시작 Y,시작 Z,면적,반지름,시작 각도,전체 각도,중심점 X,중심점 Y,중심점 Z,패턴 이름
1,선,W,,ByLayer,,,,,,180.00,1.60,29.87,40.61,0.00,-1.60,0.00,0.00,31.47,40.61,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,2.24,26.63,40.41,0.00,-2.24,0.00,0.00,28.87,40.41,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,2.24,26.63,40.61,0.00,-2.24,0.00,0.00,28.87,40.61,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,1.60,29.87,40.41,0.00,-1.60,0.00,0.00,31.47,40.41,0.00,,,,,,,,
1,doorBlockBoth,W,미터,ByLayer,24.70,40.51,0.00,,0.00,,,,,,,,,,,,,,,,,,,
1,doorBlock,W,미터,ByLayer,28.87,40.51,0.00,,0.00,,,,,,,,,,,,,,,,,,,
1,doorBlock,W,미터,ByLayer,31.47,40.51,0.00,,0.00,,,,,,,,,,,,,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,0.20,17.85,40.61,0.00,0.00,0.20,0.00,17.85,40.41,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,0.20,19.78,40.61,0.00,0.00,0.20,0.00,19.78,40.41,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,0.20,24.70,40.61,0.00,0.00,0.20,0.00,24.70,40.41,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,5.74,12.11,40.61,0.00,-5.74,0.00,0.00,17.85,40.61,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,4.92,19.78,40.41,0.00,-4.92,0.00,0.00,24.70,40.41,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,4.92,19.78,40.61,0.00,-4.92,0.00,0.00,24.70,40.61,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,5.94,11.91,40.41,0.00,-5.94,0.00,0.00,17.85,40.41,0.00,,,,,,,,
1,doorBlockBoth,W,미터,ByLayer,17.85,40.51,0.00,,0.00,,,,,,,,,,,,,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,0.91,12.11,41.52,0.00,0.00,0.91,0.00,12.11,40.61,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,0.00,0.20,10.70,41.52,0.00,0.20,0.00,0.00,10.50,41.52,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,0.91,11.91,40.41,0.00,0.00,-0.91,0.00,11.91,41.32,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,4.34,10.50,36.98,0.00,0.00,-4.34,0.00,10.50,41.32,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,0.00,0.41,12.11,41.52,0.00,0.41,0.00,0.00,11.70,41.52,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,0.20,11.70,41.32,0.00,0.00,-0.20,0.00,11.70,41.52,0.00,,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,0.20,10.70,41.32,0.00,0.00,-0.20,0.00,10.70,41.52,0.00,,,,,,,,
