계수,이름,도면층,블록 단위,색상,위치 X,위치 Y,주석,회전,각도,길이,끝 X,끝 Y,델타 X,델타 Y,시작 X,시작 Y,면적,반지름,시작 각도,전체 각도,중심점 X,중심점 Y
1,선,CEN,,ByLayer,,,,,180.00,61.09,4.89,28.17,-61.09,0.00,65.97,28.17,,,,,,
1,선,CEN,,ByLayer,,,,,180.00,61.09,4.56,32.17,-61.09,0.00,65.65,32.17,,,,,,
1,선,CEN,,ByLayer,,,,,180.00,46.00,12.10,11.88,-46.00,0.00,58.10,11.88,,,,,,
1,선,CEN,,ByLayer,,,,,90.00,30.29,12.10,42.17,0.00,30.29,12.10,11.88,,,,,,
1,선,CEN,,ByLayer,,,,,270.00,14.60,28.18,30.08,0.00,-14.60,28.18,44.68,,,,,,
1,선,CEN,,ByLayer,,,,,270.00,38.07,26.10,10.48,0.00,-38.07,26.10,48.55,,,,,,
1,선,CEN,,ByLayer,,,,,0.00,46.00,58.10,42.17,46.00,0.00,12.10,42.17,,,,,,
1,선,CEN,,ByLayer,,,,,270.00,30.29,58.10,11.88,0.00,-30.29,58.10,42.17,,,,,,
1,선,CEN,,ByLayer,,,,,270.00,38.36,48.10,10.19,0.00,-38.36,48.10,48.55,,,,,,
1,선,CEN,,ByLayer,,,,,270.00,38.46,44.10,10.09,0.00,-38.46,44.10,48.55,,,,,,
1,선,CEN,,ByLayer,,,,,270.00,37.93,22.10,10.62,0.00,-37.93,22.10,48.55,,,,,,
16,회전된 치수,DIM,,ByLayer,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,26.13,33.13,0.00,0.96,26.13,32.17,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,24.20,33.13,0.00,0.96,24.20,32.17,,,,,,
1,doorBlockBoth,DR,미터,ByLayer,24.20,32.17,,0.00,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,30.32,33.13,0.00,0.96,30.32,32.17,,,,,,
1,선,DR,,ByLayer,,,,,0.00,0.05,30.32,33.13,0.05,0.00,30.28,33.13,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,92.67,87.33,26.13,32.17
1,선,DR,,ByLayer,,,,,180.00,0.04,26.09,33.13,-0.04,0.00,26.13,33.13,,,,,,
1,선,DR,,ByLayer,,,,,0.00,0.04,24.25,32.17,0.04,0.00,24.20,32.17,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,26.09,33.13,0.00,0.96,26.09,32.17,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,0.00,87.33,24.20,32.17
1,선,DR,,ByLayer,,,,,180.00,0.04,26.09,32.17,-0.04,0.00,26.13,32.17,,,,,,
1,선,DR,,ByLayer,,,,,0.00,0.04,30.32,32.17,0.04,0.00,30.28,32.17,,,,,,
1,doorBlockBoth,DR,미터,ByLayer,30.28,32.17,,0.00,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,32.21,33.13,0.00,0.96,32.21,32.17,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.05,22.10,26.24,0.00,0.00,22.10,26.24,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.04,22.10,26.24,0.00,0.00,22.10,26.24,,,,,,
1,선,DR,,ByLayer,,,,,0.00,0.97,22.10,26.24,0.00,0.00,22.10,26.24,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,30.28,33.13,0.00,0.96,30.28,32.17,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,32.16,33.13,0.00,0.96,32.16,32.17,,,,,,
1,선,DR,,ByLayer,,,,,180.00,0.04,32.16,33.13,-0.04,0.00,32.21,33.13,,,,,,
1,선,DR,,ByLayer,,,,,180.00,0.04,32.16,32.17,-0.04,0.00,32.21,32.17,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,92.67,87.33,32.21,32.17
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,0.00,87.33,30.28,32.17
1,선,DR,,ByLayer,,,,,90.00,0.96,24.25,33.13,0.00,0.96,24.25,32.17,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,92.67,87.33,30.28,28.17
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,0.00,87.33,32.21,28.17
1,선,DR,,ByLayer,,,,,90.00,0.96,32.21,27.20,0.00,-0.96,32.21,28.17,,,,,,
1,doorBlockBoth,DR,미터,ByLayer,32.21,28.17,,180.00,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,30.28,27.20,0.00,-0.96,30.28,28.17,,,,,,
1,선,DR,,ByLayer,,,,,180.00,0.04,30.32,28.17,0.04,0.00,30.28,28.17,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,32.16,27.20,0.00,-0.96,32.16,28.17,,,,,,
1,선,DR,,ByLayer,,,,,180.00,0.05,32.16,27.20,-0.05,0.00,32.21,27.20,,,,,,
1,선,DR,,ByLayer,,,,,180.00,0.04,32.16,28.17,-0.04,0.00,32.21,28.17,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,30.32,27.20,0.00,-0.96,30.32,28.17,,,,,,
1,선,DR,,ByLayer,,,,,180.00,0.04,30.32,27.20,0.04,0.00,30.28,27.20,,,,,,
1,선,DR,,ByLayer,,,,,0.00,0.05,40.12,33.13,0.05,0.00,40.07,33.13,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,40.07,33.13,0.00,0.96,40.07,32.17,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,92.67,87.33,42.00,32.17
1,선,DR,,ByLayer,,,,,90.00,0.96,42.00,33.13,0.00,0.96,42.00,32.17,,,,,,
1,선,DR,,ByLayer,,,,,0.00,0.05,24.25,33.13,0.05,0.00,24.20,33.13,,,,,,
1,doorBlockBoth,DR,미터,ByLayer,40.07,32.17,,0.00,,,,,,,,,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,0.00,87.33,40.07,32.17
1,선,DR,,ByLayer,,,,,0.00,0.04,40.12,32.17,0.04,0.00,40.07,32.17,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,40.12,33.13,0.00,0.96,40.12,32.17,,,,,,
1,선,DR,,ByLayer,,,,,180.00,0.04,41.96,33.13,-0.04,0.00,42.00,33.13,,,,,,
1,선,DR,,ByLayer,,,,,180.00,0.04,41.96,32.17,-0.04,0.00,42.00,32.17,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.96,41.96,33.13,0.00,0.96,41.96,32.17,,,,,,
1,선,DR,,ByLayer,,,,,0.00,0.96,48.10,37.92,0.00,0.00,48.10,37.92,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.05,48.10,37.92,0.00,0.00,48.10,37.92,,,,,,
1,선,DR,,ByLayer,,,,,90.00,0.04,48.10,37.92,0.00,0.00,48.10,37.92,,,,,,
1,호,DR,,ByLayer,,,,,,1.47,,,,,,,0.24,0.96,0.00,87.33,48.10,37.92
2,선,DR,,ByLayer,,,,,90.00,0.04,48.10,37.92,0.00,0.00,48.10,37.92,,,,,,
